species,atom1,atom2,wiberg_bond_order,bond_length
Ac5_rdkit_conf_2,14,3,0.0106,3.4552954222540797
Ac5_rdkit_conf_2,14,4,0.0018,4.465592522530577
Ac5_rdkit_conf_2,14,5,0.0018,3.786855670338784
Ac5_rdkit_conf_2,15,3,0.0111,3.4028398865591662
Ac5_rdkit_conf_2,15,4,0.0028,4.24377963016519
Ac5_rdkit_conf_2,15,5,0.0010,3.9146905703916115
Ac5_rdkit_conf_2,16,3,0.0007,2.7075228295233265
Ac5_rdkit_conf_2,16,4,0.0003,3.1698801903158738
Ac5_rdkit_conf_2,16,5,0.0002,3.4322863839934747
Ac5_rdkit_conf_2,17,3,0.0016,2.6303484803778376
Ac5_rdkit_conf_2,17,4,0.0006,3.5833550519222905
Ac5_rdkit_conf_2,17,5,0.0003,2.6384596949392654
Ac5_rdkit_conf_2,18,3,0.0020,1.8737013520038353
Ac5_rdkit_conf_2,18,4,0.0046,2.2597822591780825
Ac5_rdkit_conf_2,18,5,0.7324,0.9678423362955351
Ac5_rdkit_conf_2,19,3,0.0003,3.940734144938225
Ac5_rdkit_conf_2,19,4,0.0000,4.2686735622754055
Ac5_rdkit_conf_2,19,5,0.0001,5.00189431876874
Ac5_rdkit_conf_2,20,3,0.0002,5.696531114179839
Ac5_rdkit_conf_2,20,4,0.0000,5.685354008377491
Ac5_rdkit_conf_2,20,5,0.0000,6.938307062184695
Ac5_rdkit_conf_2,21,3,0.0000,6.1021248236719146
Ac5_rdkit_conf_2,21,4,0.0000,5.871610543440871
Ac5_rdkit_conf_2,21,5,0.0000,7.374981933490821
Ac5_rdkit_conf_2,22,3,0.0000,4.959964809943111
Ac5_rdkit_conf_2,22,4,0.0000,4.6978438578840604
Ac5_rdkit_conf_2,22,5,0.0000,6.0728152754383204
Ac5_rdkit_conf_2,23,3,0.0004,2.7570953922381793
Ac5_rdkit_conf_2,23,4,0.0001,2.8085281041812635
Ac5_rdkit_conf_2,23,5,0.0000,3.6959852420974304
Ac5_rdkit_conf_3,3,0,0.0072,2.462217915380765
Ac5_rdkit_conf_3,3,1,0.9229,1.527543552857332
Ac5_rdkit_conf_3,3,2,0.0080,2.519048394979541
Ac5_rdkit_conf_3,4,0,0.0046,2.7614593815748947
Ac5_rdkit_conf_3,4,1,0.0518,2.42409284536752
Ac5_rdkit_conf_3,4,2,0.0106,3.588556857945684
Ac5_rdkit_conf_3,4,3,1.7807,1.1981160364046546
Ac5_rdkit_conf_3,5,0,0.0075,3.6472690379194677
Ac5_rdkit_conf_3,5,1,0.0143,2.400952727270156
Ac5_rdkit_conf_3,5,2,0.0023,2.745768712353792
Ac5_rdkit_conf_3,5,3,1.0367,1.3480781541698539
Ac5_rdkit_conf_3,5,4,0.1491,2.225716562148469
Ac5_rdkit_conf_3,6,3,0.0150,2.456683327986943
Ac5_rdkit_conf_3,6,4,0.0121,3.2490514088898315
Ac5_rdkit_conf_3,6,5,0.0047,3.0680028210617736
Ac5_rdkit_conf_3,7,3,0.0062,3.055231756067778
Ac5_rdkit_conf_3,7,4,0.0037,3.981371650974197
Ac5_rdkit_conf_3,7,5,0.0016,3.070720771336104
Ac5_rdkit_conf_3,8,3,0.0005,4.326050941024735
Ac5_rdkit_conf_3,8,4,0.0005,5.114949667584521
Ac5_rdkit_conf_3,8,5,0.0007,4.324315954230102
Ac5_rdkit_conf_3,9,3,0.0035,4.99786458486552
Ac5_rdkit_conf_3,9,4,0.0018,5.602182828169837
Ac5_rdkit_conf_3,9,5,0.0003,5.304635926596753
Ac5_rdkit_conf_3,10,3,0.0007,4.655165929485328
Ac5_rdkit_conf_3,10,4,0.0003,5.107586216783913
Ac5_rdkit_conf_3,10,5,0.0005,5.301330444760541
Ac5_rdkit_conf_3,11,3,0.0099,3.500798470911172
Ac5_rdkit_conf_3,11,4,0.0028,3.966338953250718
Ac5_rdkit_conf_3,11,5,0.0013,4.335386008650672
Ac5_rdkit_conf_3,12,3,0.0014,2.680246088700066
Ac5_rdkit_conf_3,12,4,0.0004,2.551826069789632
Ac5_rdkit_conf_3,12,5,0.0004,4.006592934405242
Ac5_rdkit_conf_3,13,3,0.0111,3.422631210834875
Ac5_rdkit_conf_3,13,4,0.0019,3.8286088863942473
Ac5_rdkit_conf_3,13,5,0.0003,4.500731729260366
Ac5_rdkit_conf_3,14,3,0.0011,2.711732466775069
Ac5_rdkit_conf_3,14,4,0.0001,2.883445234203001
Ac5_rdkit_conf_3,14,5,0.0002,3.8031571978252487
Ac5_rdkit_conf_3,15,3,0.0011,2.799455374048674
Ac5_rdkit_conf_3,15,4,0.0002,3.981220076879197
Ac5_rdkit_conf_3,15,5,0.0002,2.503951627648186
Ac5_rdkit_conf_3,16,3,0.0108,3.456590586952988
Ac5_rdkit_conf_3,16,4,0.0018,4.461492634255267
Ac5_rdkit_conf_3,16,5,0.0019,3.7937047678481783
Ac5_rdkit_conf_3,17,3,0.0009,2.7630504832373224
Ac5_rdkit_conf_3,17,4,0.0003,3.670948636683711
Ac5_rdkit_conf_3,17,5,0.0002,2.959447912365413
Ac5_rdkit_conf_3,18,3,0.0021,1.8727219697493804
Ac5_rdkit_conf_3,18,4,0.0045,2.260203937032674
Ac5_rdkit_conf_3,18,5,0.7305,0.9681669967293866
Ac5_rdkit_conf_3,19,3,0.0002,2.9516707130277933
Ac5_rdkit_conf_3,19,4,0.0002,4.005460681880425
Ac5_rdkit_conf_3,19,5,0.0007,2.5109332437633625
Ac5_rdkit_conf_3,20,3,0.0000,5.032408805363293
Ac5_rdkit_conf_3,20,4,0.0000,5.858321865377661
Ac5_rdkit_conf_3,20,5,0.0000,4.767731176513835
Ac5_rdkit_conf_3,21,3,0.0000,6.041262530556506
Ac5_rdkit_conf_3,21,4,0.0000,6.605437605263409
Ac5_rdkit_conf_3,21,5,0.0000,6.290851885610882
Ac5_rdkit_conf_3,22,3,0.0001,5.5314442822247605
Ac5_rdkit_conf_3,22,4,0.0001,5.845834893558403
Ac5_rdkit_conf_3,22,5,0.0000,6.2872302520314145
Ac5_rdkit_conf_3,23,3,0.0002,3.7483659183301463
Ac5_rdkit_conf_3,23,4,0.0001,3.9955250747015714
Ac5_rdkit_conf_3,23,5,0.0001,4.8149427912835066
