species,atom,npa_charge,wiberg_total,nmr_shielding,cm5_charge,hirshfeld_charge,ox_npa_charge,ox_cm5_charge,ox_hirshfeld_charge,red_npa_charge,red_cm5_charge,red_hirshfeld_charge,fukui_plus,fukui_minus,fukui_rad
Ac5,10,-0.20316533682861507,3.9641657281039357,37.43763493594902,-0.09592109009581237,-0.03989118976052882,-0.20125195168364832,-0.03656004053051475,0.019470016787839706,-0.20060435966737628,-0.15407337547981792,-0.09804331816146346,-0.058152128400934644,-0.05936120654836853,0.0012090781474338023
Ac7,10,0.23003834377078541,0.9486557357753891,29.671716686717183,0.10552015290499625,0.04246713147394155,0.2882917051684824,0.14746252651909458,0.08440950508803988,0.08589844688801129,0.0062044113597460905,-0.05684861007130862,-0.09931574154525016,-0.0419423736140983,-0.057373367931151824
Ac4,10,-0.6685909604117404,1.9825692975925906,110.52105999686019,-0.36496943615574473,-0.17017456349934507,-0.6605763551104376,-0.34927169448231465,-0.15447739813394945,-0.7102157778452196,-0.4175219070221904,-0.22272701181270882,-0.05255244831336372,-0.0156971653653955,-0.036855282947968165
Ac3,10,-0.13676,3.9462,37.0023,-0.061767,-0.014409,-0.10774,0.002317,0.049674,-0.35007,-0.17894,-0.131583,-0.117174,-0.064083,-0.053091
Ac4,10,-0.6685909604117404,1.9825692975925906,110.52105999686019,-0.36496943615574473,-0.17017456349934507,-0.6605763551104376,-0.34927169448231465,-0.15447739813394945,-0.7102157778452196,-0.4175219070221904,-0.22272701181270882,-0.05255244831336372,-0.0156971653653955,-0.036855282947968165
Ac2,11,-0.6779883373695607,1.9716918726788544,121.42068250480563,-0.24944936796245384,-0.11576898289091443,-0.4358876392541193,-0.22689321995801556,-0.09321224640267341,-0.5118083524094764,-0.32263855999994673,-0.18895754334977077,-0.07318856045885634,-0.022556736488241032,-0.05063182397061531
Ac5,11,-0.1993434807319127,3.9652040873563412,34.88318070370433,-0.09284767480795643,-0.039648070155813155,-0.13947695488013562,-0.016396260205767055,0.03680334444637622,-0.3752629333041002,-0.19332983899912343,-0.14013039133005106,-0.10048232117423792,-0.07645141460218938,-0.024030906572048556
Ac7,11,0.21348,0.9555,30.2151,0.08963654445657766,0.033319,0.24731000000000003,0.11704,0.060722,0.19772911086844683,0.06352265532502449,0.007204655325024485,-0.026114344674975518,-0.0274029999999999,0.001288655325024384
Ac4,11,0.18696460384022828,0.9658916614111026,28.05468810658787,0.10368565909658099,0.043012772281212905,0.21758137959842683,0.1315117833539263,0.07083927512435996,0.16499548140555428,0.0826234959583169,0.021951010281832425,-0.02106176199938048,-0.027826502843146993,0.006764740843766512
Ac3,11,-0.14204,4.0066,30.5936,-0.021478,-0.01911,-0.11352,0.032306,0.034674,-0.1558,-0.068211,-0.065843,-0.046733,-0.053784,0.007051
Ac4,11,0.18696460384022828,0.9658916614111026,28.05468810658787,0.10368565909658099,0.043012772281212905,0.21758137959842683,0.1315117833539263,0.07083927512435996,0.16499548140555428,0.0826234959583169,0.021951010281832425,-0.02106176199938048,-0.027826502843146993,0.006764740843766512
Ac2,12,0.2140649653521818,0.9550277643425533,30.699254199377723,0.06022309498261515,0.022919702603110638,0.15182050222901367,0.06775980775702505,0.030457046956157054,0.1409454885304574,0.056112957643980846,0.018809565264476344,-0.004110137338634294,-0.007537344353046416,0.0034272070144120595
Ac5,12,0.2166775759138481,0.9537429071058701,30.16133257841259,0.08774455679494295,0.03267299527079268,0.2246661921548202,0.09975594162727017,0.044684380103119904,0.2133732765420795,0.07512722529369059,0.02005550678646943,-0.012617488484323177,-0.012011384832327202,-0.0006061036519959555
Ac7,12,0.20826,0.9584000000000001,30.4898,0.088497,0.02889,0.2312,0.110214,0.050607,0.19098000000000004,0.07122991108684469,0.011622911086844682,-0.017267088913155273,-0.021717,0.0044499110868446825
Ac4,12,0.18225458642227937,0.9682789990570868,28.197942924488462,0.10193595747406625,0.04169139815322841,0.22046326394937657,0.1339590635289834,0.0737144816550637,0.16018819476342722,0.08074662674572636,0.020502067424888512,-0.021189330728339853,-0.03202308350183528,0.010833752773495397
Ac3,12,0.98023,3.7219,55.0777,0.343611,0.288588,0.97037,0.356465,0.301442,0.98298,0.329658,0.274635,-0.0139529999999999,-0.0128539999999999,-0.001099
Ac4,12,0.18225458642227937,0.9682789990570868,28.197942924488462,0.10193595747406625,0.04169139815322841,0.22046326394937657,0.1339590635289834,0.0737144816550637,0.16018819476342722,0.08074662674572636,0.020502067424888512,-0.021189330728339853,-0.03202308350183528,0.010833752773495397
