species,atom,npa_charge,wiberg_total,nmr_shielding,cm5_charge,hirshfeld_charge,ox_npa_charge,ox_cm5_charge,ox_hirshfeld_charge,red_npa_charge,red_cm5_charge,red_hirshfeld_charge
Ac4_rdkit_conf_1,2,0.3537,3.9271,2.9260,0.11231,0.091229,0.42203,0.186615,0.165534,0.30887,0.065185,0.044104
Ac4_rdkit_conf_1,3,-0.3165,3.9534,58.9584,-0.119167,-0.06663,-0.20956,-0.041469,0.011068,-0.36608,-0.180238,-0.127701
Ac4_rdkit_conf_1,4,-0.15967,3.9628,30.0019,-0.083356,-0.027473,-0.16373,-0.028485,0.027398,-0.36363,-0.202696,-0.146813
Ac4_rdkit_conf_1,5,-0.25573,3.9593,48.9585,-0.111882,-0.055841,-0.01478,0.027945,0.083985,-0.2488,-0.164318,-0.108277
Ac4_rdkit_conf_1,6,-0.14155,3.9538,29.8936,-0.079428,-0.027792,-0.15211,-0.029059,0.022577,-0.26113,-0.162487,-0.110851
Ac4_rdkit_conf_1,7,-0.23074,3.9995,51.6343,-0.031991,-0.033787,-0.11214,0.037681,0.035884,-0.32439,-0.101524,-0.10332
Ac4_rdkit_conf_1,8,0.7775,3.8456,8.7587,0.259267,0.203492,0.74971,0.275267,0.219492,0.68952,0.16892,0.113144
Ac4_rdkit_conf_1,9,-0.57121,2.0407,-149.4832,-0.327498,-0.280097,-0.50897,-0.2771,-0.229699,-0.70257,-0.442114,-0.394713
Ac4_rdkit_conf_1,10,-0.69686,1.942,115.8028,-0.381336,-0.182091,-0.67676,-0.356778,-0.157533,-0.7332,-0.428152,-0.228906
Ac4_rdkit_conf_1,11,0.17349,0.972,28.3825,0.098119,0.038315,0.21193,0.130546,0.070741,0.15745,0.07989,0.020086
Ac4_rdkit_conf_1,12,0.17293,0.9722,28.4109,0.097542,0.037771,0.21158,0.130176,0.070404,0.15684,0.079221,0.01945
Ac4_rdkit_conf_1,13,0.20434,0.9589,27.7626,0.114886,0.053515,0.24267,0.147452,0.086081,0.17649,0.091314,0.029943
Ac4_rdkit_conf_1,14,0.22171,0.9524,24.4495,0.101023,0.040492,0.25454,0.139102,0.078571,0.18673,0.064019,0.003488
Ac4_rdkit_conf_1,15,0.21522,0.9546,23.7322,0.104409,0.048206,0.25718,0.144436,0.088233,0.17625,0.044501,-0.011702
Ac4_rdkit_conf_1,16,0.21899,0.9528,24.3711,0.10076,0.044496,0.25181,0.154931,0.098668,0.18093,0.061642,0.005378
Ac4_rdkit_conf_1,17,0.2366,0.9449,22.8791,0.108916,0.045008,0.27625,0.144341,0.080433,0.20571,0.066247,0.002339
Ac4_rdkit_conf_1,18,0.49649,0.7564,26.1047,0.357245,0.178579,0.51994,0.383739,0.205073,0.46597,0.318209,0.139543
Ac4_rdkit_conf_2,0,-0.25614,3.7846,131.0469,-0.114468,0.007971,-0.28701,-0.083386,0.039053,-0.24589,-0.133168,-0.010729
Ac4_rdkit_conf_2,1,-0.45132,2.1978,216.7696,-0.213012,-0.123154,-0.28242,-0.093972,-0.004114,-0.4696,-0.232885,-0.143026
Ac4_rdkit_conf_2,2,0.34678,3.927,4.8207,0.107965,0.087065,0.42083,0.184353,0.163453,0.30054,0.059237,0.038337
Ac4_rdkit_conf_2,3,-0.31657,3.9536,59.4555,-0.119963,-0.0674,-0.21377,-0.043574,0.008989,-0.36517,-0.180559,-0.127996
Ac4_rdkit_conf_2,4,-0.15957,3.9629,29.0971,-0.08322,-0.027333,-0.16142,-0.027737,0.02815,-0.36262,-0.202141,-0.146254
