File,atom1,atom2,bonding
Ac5_rdkit_conf_2,9,4,0.0003
Ac5_rdkit_conf_2,9,5,0.0002
Ac5_rdkit_conf_2,10,1,0.0090
Ac5_rdkit_conf_2,10,3,0.0006
Ac5_rdkit_conf_2,10,4,0.0011
Ac5_rdkit_conf_2,10,5,0.0003
Ac5_rdkit_conf_2,11,1,0.0061
Ac5_rdkit_conf_2,11,3,0.0051
Ac5_rdkit_conf_2,11,4,0.0016
Ac5_rdkit_conf_2,11,5,0.0012
Ac5_rdkit_conf_2,12,1,0.0010
Ac5_rdkit_conf_2,12,3,0.0010
Ac5_rdkit_conf_2,12,4,0.0003
Ac5_rdkit_conf_2,12,5,0.0002
Ac5_rdkit_conf_2,13,1,0.0011
Ac5_rdkit_conf_2,13,3,0.0010
Ac5_rdkit_conf_2,13,4,0.0002
Ac5_rdkit_conf_2,13,5,0.0003
Ac5_rdkit_conf_2,14,1,0.0014
Ac5_rdkit_conf_2,14,3,0.0106
Ac5_rdkit_conf_2,14,4,0.0018
Ac5_rdkit_conf_2,14,5,0.0018
Ac5_rdkit_conf_2,15,1,0.0016
Ac5_rdkit_conf_2,15,3,0.0111
Ac5_rdkit_conf_2,15,4,0.0028
Ac5_rdkit_conf_2,15,5,0.0010
Ac5_rdkit_conf_2,16,1,0.0009
Ac5_rdkit_conf_2,16,3,0.0007
Ac5_rdkit_conf_2,16,4,0.0003
Ac5_rdkit_conf_2,16,5,0.0002
Ac5_rdkit_conf_2,17,1,0.0010
Ac5_rdkit_conf_2,17,3,0.0016
Ac5_rdkit_conf_2,17,4,0.0006
Ac5_rdkit_conf_2,17,5,0.0003
Ac5_rdkit_conf_2,18,1,0.0153
Ac5_rdkit_conf_2,18,3,0.0020
Ac5_rdkit_conf_2,18,4,0.0046
Ac5_rdkit_conf_2,18,5,0.7324
Ac5_rdkit_conf_2,19,1,0.0026
Ac5_rdkit_conf_2,19,3,0.0003
Ac5_rdkit_conf_2,19,4,0.0000
Ac5_rdkit_conf_2,19,5,0.0001
Ac5_rdkit_conf_2,20,1,0.0003
Ac5_rdkit_conf_2,20,3,0.0002
Ac5_rdkit_conf_2,20,4,0.0000
Ac5_rdkit_conf_2,20,5,0.0000
Ac5_rdkit_conf_2,21,1,0.0006
Ac5_rdkit_conf_2,21,3,0.0000
Ac5_rdkit_conf_2,21,4,0.0000
Ac5_rdkit_conf_2,21,5,0.0000
Ac5_rdkit_conf_2,22,1,0.0003
Ac5_rdkit_conf_2,22,3,0.0000
Ac5_rdkit_conf_2,22,4,0.0000
Ac5_rdkit_conf_2,22,5,0.0000
Ac5_rdkit_conf_2,23,1,0.0023
Ac5_rdkit_conf_2,23,3,0.0004
Ac5_rdkit_conf_2,23,4,0.0001
Ac5_rdkit_conf_2,23,5,0.0000
Ac2_rdkit_conf_4,8,0,0.0003
Ac2_rdkit_conf_4,8,1,0.0012
Ac2_rdkit_conf_4,8,2,0.0001
Ac2_rdkit_conf_4,8,3,0.0001
Ac2_rdkit_conf_4,8,4,0.0104
Ac2_rdkit_conf_4,8,5,0.0060
Ac2_rdkit_conf_4,8,6,0.0044
Ac2_rdkit_conf_4,8,7,0.9987
Ac2_rdkit_conf_4,9,0,0.0000
Ac2_rdkit_conf_4,9,1,0.0002
Ac2_rdkit_conf_4,9,2,0.0000
Ac2_rdkit_conf_4,9,3,0.0000
Ac2_rdkit_conf_4,9,4,0.0005
Ac2_rdkit_conf_4,9,5,0.0065
Ac2_rdkit_conf_4,9,6,0.0016
Ac2_rdkit_conf_4,9,7,0.0060
Ac2_rdkit_conf_4,9,8,0.9718
Ac2_rdkit_conf_4,10,0,0.0000
Ac2_rdkit_conf_4,10,1,0.0000
Ac2_rdkit_conf_4,10,2,0.0000
Ac2_rdkit_conf_4,10,3,0.0000
Ac2_rdkit_conf_4,10,4,0.0001
Ac2_rdkit_conf_4,10,5,0.0008
