species,atom1,atom2,wiberg_bond_order,bond_length
Ac7_rdkit_conf_3,16,4,0.0100,3.467899032966502
Ac7_rdkit_conf_3,16,5,0.0011,2.162989378749697
Ac7_rdkit_conf_3,16,6,0.9277,1.0915171245587492
Ac7_rdkit_conf_3,16,7,0.0011,2.162989115406039
Ac7_rdkit_conf_3,16,8,0.0100,3.467899295459573
Ac7_rdkit_conf_3,16,9,0.0000,6.719185597739803
Ac7_rdkit_conf_3,16,10,0.0000,4.136390883023267
Ac7_rdkit_conf_3,16,11,0.0005,4.303698946364743
Ac7_rdkit_conf_3,16,12,0.0002,3.784765383725258
Ac7_rdkit_conf_3,16,13,0.0014,2.5015710214173414
Ac7_rdkit_conf_3,16,14,0.0014,2.4742927119271885
Ac7_rdkit_conf_3,16,15,0.0002,1.7565739310971231
Ac7_rdkit_conf_3,17,0,0.0007,5.559782714069859
Ac7_rdkit_conf_3,17,1,0.0007,4.656584264041187
Ac7_rdkit_conf_3,17,2,0.0001,4.972975940740313
Ac7_rdkit_conf_3,17,3,0.0094,3.4640393202372857
Ac7_rdkit_conf_3,17,4,0.0003,3.9372624244054393
Ac7_rdkit_conf_3,17,5,0.0099,3.4676759098204375
Ac7_rdkit_conf_3,17,6,0.0011,2.164637618985219
Ac7_rdkit_conf_3,17,7,0.9263,1.0914683008626498
Ac7_rdkit_conf_3,17,8,0.0011,2.1567768026664234
Ac7_rdkit_conf_3,17,9,0.0000,5.8553363788350365
Ac7_rdkit_conf_3,17,10,0.0002,3.7627077690946185
Ac7_rdkit_conf_3,17,11,0.0004,4.973443641490471
Ac7_rdkit_conf_3,17,12,0.0000,4.1497727308130985
Ac7_rdkit_conf_3,17,13,0.0005,4.302675001202159
Ac7_rdkit_conf_3,17,14,0.0001,3.7868214268514166
Ac7_rdkit_conf_3,17,15,0.0014,2.4735096796291294
Ac7_rdkit_conf_3,17,16,0.0014,2.5015705952790936
Ac7_rdkit_conf_3,18,0,0.0001,4.841282078422409
Ac7_rdkit_conf_3,18,1,0.0002,4.155700350239415
Ac7_rdkit_conf_3,18,2,0.0001,4.910575437912954
Ac7_rdkit_conf_3,18,3,0.0010,2.778613061471136
Ac7_rdkit_conf_3,18,4,0.0001,3.3506907267539625
Ac7_rdkit_conf_3,18,5,0.0009,2.7905154969462185
Ac7_rdkit_conf_3,18,6,0.0020,2.152396186153005
Ac7_rdkit_conf_3,18,7,0.9266,1.095070750366386
Ac7_rdkit_conf_3,18,8,0.0020,2.1515267414801054
Ac7_rdkit_conf_3,18,9,0.0000,5.770723275599428
Ac7_rdkit_conf_3,18,10,0.0004,2.581477941226886
Ac7_rdkit_conf_3,18,11,0.0000,4.171374335993115
Ac7_rdkit_conf_3,18,12,0.0002,4.008276067866583
Ac7_rdkit_conf_3,18,13,0.0001,3.786821658049135
Ac7_rdkit_conf_3,18,14,0.0005,2.6164420007439495
Ac7_rdkit_conf_3,18,15,0.0138,3.0522166496936287
Ac7_rdkit_conf_3,18,16,0.0014,2.47429222334004
Ac7_rdkit_conf_3,18,17,0.0002,1.7556526926268758
Ac7_rdkit_conf_3,19,0,0.0004,3.4021286123756407
Ac7_rdkit_conf_3,19,1,0.0012,2.728302322438809
Ac7_rdkit_conf_3,19,2,0.0002,3.244138198637506
Ac7_rdkit_conf_3,19,3,0.0008,2.165475345358843
Ac7_rdkit_conf_3,19,4,0.0099,3.470638419264387
Ac7_rdkit_conf_3,19,5,0.0002,3.940668442356449
Ac7_rdkit_conf_3,19,6,0.0098,3.4706061162737845
Ac7_rdkit_conf_3,19,7,0.0012,2.1663684801965246
Ac7_rdkit_conf_3,19,8,0.9260,1.0921241227227794
Ac7_rdkit_conf_3,19,9,0.0001,3.9330354932954776
Ac7_rdkit_conf_3,19,10,0.0011,2.483927842690685
Ac7_rdkit_conf_3,19,11,0.0006,4.303566001155437
Ac7_rdkit_conf_3,19,12,0.0001,3.7628374390426433
Ac7_rdkit_conf_3,19,13,0.0004,4.973443765780306
Ac7_rdkit_conf_3,19,14,0.0000,4.171373322625535
Ac7_rdkit_conf_3,19,15,0.0001,3.783576753582514
Ac7_rdkit_conf_3,19,16,0.0005,4.3036988082439045
Ac7_rdkit_conf_3,19,17,0.0015,2.4936514183496055
Ac7_rdkit_conf_3,19,18,0.0013,2.477968167295335
Ac7_rdkit_conf_3,20,0,0.0003,3.8340100580389724
Ac7_rdkit_conf_3,20,1,0.0014,2.7427006464690966
Ac7_rdkit_conf_3,20,2,0.0004,2.6128987099660024
Ac7_rdkit_conf_3,20,3,0.0019,2.151274236628608
Ac7_rdkit_conf_3,20,4,0.0008,2.7707212007643425
Ac7_rdkit_conf_3,20,5,0.0001,3.3353316671900863
Ac7_rdkit_conf_3,20,6,0.0009,2.787362331762414
Ac7_rdkit_conf_3,20,7,0.0021,2.1572091043368977
Ac7_rdkit_conf_3,20,8,0.9212,1.0935873093164532
Ac7_rdkit_conf_3,20,9,0.0000,3.4843022321596906
Ac7_rdkit_conf_3,20,10,0.0130,3.050592738494111
Ac7_rdkit_conf_3,20,11,0.0001,3.7628375159384704
Ac7_rdkit_conf_3,20,12,0.0004,2.5700070007099205
Ac7_rdkit_conf_3,20,13,0.0000,4.149773397964037
Ac7_rdkit_conf_3,20,14,0.0002,4.008276327578352
Ac7_rdkit_conf_3,20,15,0.0004,2.6089701390757614
Ac7_rdkit_conf_3,20,16,0.0002,3.7847653064131994
Ac7_rdkit_conf_3,20,17,0.0014,2.482480626184623
Ac7_rdkit_conf_3,20,18,0.0135,3.0564688370716295
Ac7_rdkit_conf_3,20,19,0.0002,1.760327461840268
Ac3_rdkit_conf_1,1,0,1.7637,1.1982479104175394
Ac3_rdkit_conf_1,2,0,0.1531,2.234693405918136
Ac3_rdkit_conf_1,2,1,1.0498,1.3416283521340773
Ac3_rdkit_conf_1,3,0,0.0544,2.3797917932552415
Ac3_rdkit_conf_1,3,1,0.9802,1.4907630721120644
Ac3_rdkit_conf_1,3,2,0.0147,2.35934036853418
Ac3_rdkit_conf_1,4,0,0.0157,2.8217652899539676
Ac3_rdkit_conf_1,4,1,0.0108,2.4689647883696115
Ac3_rdkit_conf_1,4,2,0.0113,3.6282277137143693
Ac3_rdkit_conf_1,4,3,1.3715,1.393246280282851
Ac3_rdkit_conf_1,5,0,0.0012,4.200084911654168
Ac3_rdkit_conf_1,5,1,0.0081,3.7414589071020146
Ac3_rdkit_conf_1,5,2,0.0007,4.753386978505431
Ac3_rdkit_conf_1,5,3,0.0086,2.394091123819225
Ac3_rdkit_conf_1,5,4,1.4510,1.379806832680575
Ac3_rdkit_conf_1,6,0,0.0001,5.181682675097057
Ac3_rdkit_conf_1,6,1,0.0003,4.981095946098709
Ac3_rdkit_conf_1,6,2,0.0003,6.1170626172550335
Ac3_rdkit_conf_1,6,3,0.0079,3.786449930645327
Ac3_rdkit_conf_1,6,4,0.0094,2.5133542195094587
Ac3_rdkit_conf_1,6,5,0.9581,1.5052549317089117
Ac3_rdkit_conf_1,7,0,0.0000,4.879848947938963
Ac3_rdkit_conf_1,7,1,0.0001,4.995823443472057
Ac3_rdkit_conf_1,7,2,0.0000,6.268818011205063
