,File,atom,nbo_charge,nmr_shielding,neut_nat,neut_cm5,neut_mulliken,neut_hirsfeld,ox_nat,ox_cm5,ox_mulliken,ox_hirsfeld,red_nat,red_cm5,red_mulliken,red_hirsfeld
70,Ac5_rdkit_conf_1,21,0.21454,23.9985,0.21454,0.09963,0.142902,0.043545,0.24573,0.156511,0.219907,0.100426,0.17508,0.059109,0.068705,0.003023
71,Ac5_rdkit_conf_1,22,0.21348,23.8438,0.21348,0.099479,0.141844,0.043343,0.25488,0.144194,0.207724,0.088058,0.17398,0.038985,0.066039,-0.017151
72,Ac5_rdkit_conf_1,23,0.21519,23.7661,0.21519,0.098519,0.165129,0.039888,0.25561,0.136301,0.22445,0.07767,0.17925,0.046655,0.094659,-0.011977
73,Ac7_rdkit_conf_3,0,-0.5915,-149.8683,-0.5915,-0.341352,-0.317284,-0.290334,-0.1978,-0.050873,-0.02272,0.000144,-0.82114,-0.57003,-0.529064,-0.519012
74,Ac7_rdkit_conf_3,1,0.80494,-6.3302,0.80494,0.261806,0.30424,0.212744,0.8146,0.347957,0.398921,0.298896,0.41782,0.032058,0.018869,-0.017004
75,Ac7_rdkit_conf_3,2,-0.69886,117.2673,-0.69886,-0.376427,-0.416587,-0.176131,-0.59111,-0.279367,-0.308894,-0.079071,-0.78547,-0.484702,-0.509542,-0.284406
76,Ac7_rdkit_conf_3,3,-0.32207,136.3349,-0.32207,-0.081199,-0.097463,-0.021831,-0.27309,-0.041613,-0.130315,0.017755,-0.29834,-0.108234,-0.108575,-0.048866
77,Ac7_rdkit_conf_3,4,-0.38931,154.7460,-0.38931,-0.155746,-0.333629,-0.049236,-0.3749,-0.125085,-0.321538,-0.018575,-0.40482,-0.178095,-0.280217,-0.071585
78,Ac7_rdkit_conf_3,4,-0.38931,154.7460,-0.38931,-0.155745,-0.33363,-0.049235,-0.3749,-0.125085,-0.321539,-0.018575,-0.40483,-0.178101,-0.280024,-0.071591
79,Ac7_rdkit_conf_3,5,-0.39486,158.8170,-0.39486,-0.15943,-0.277324,-0.049277,-0.37935,-0.128858,-0.289359,-0.018705,-0.40323,-0.178479,-0.244069,-0.068326
80,Ac7_rdkit_conf_3,5,-0.39486,158.8170,-0.39486,-0.15943,-0.277325,-0.049277,-0.37935,-0.128858,-0.28936,-0.018705,-0.40323,-0.178478,-0.24421,-0.068325
81,Ac7_rdkit_conf_3,5,-0.39486,158.8170,-0.39486,-0.15943,-0.277324,-0.049277,-0.37935,-0.128858,-0.289359,-0.018705,-0.40323,-0.178479,-0.244069,-0.068326
82,Ac7_rdkit_conf_3,5,-0.39486,158.8170,-0.39486,-0.15943,-0.277325,-0.049277,-0.37935,-0.128858,-0.28936,-0.018705,-0.40323,-0.178478,-0.24421,-0.068325
83,Ac7_rdkit_conf_3,6,-0.39588,158.5558,-0.39588,-0.161232,-0.276308,-0.050993,-0.40556,-0.142296,-0.299013,-0.032057,-0.39404,-0.17308,-0.255981,-0.06284
84,Ac7_rdkit_conf_3,5,-0.39486,158.8170,-0.39486,-0.15943,-0.277324,-0.049277,-0.37935,-0.128858,-0.289359,-0.018705,-0.40323,-0.178479,-0.244069,-0.068326
85,Ac7_rdkit_conf_3,5,-0.39486,158.8170,-0.39486,-0.15943,-0.277325,-0.049277,-0.37935,-0.128858,-0.28936,-0.018705,-0.40323,-0.178478,-0.24421,-0.068325
86,Ac7_rdkit_conf_3,5,-0.39486,158.8170,-0.39486,-0.15943,-0.277324,-0.049277,-0.37935,-0.128858,-0.289359,-0.018705,-0.40323,-0.178479,-0.244069,-0.068326
87,Ac7_rdkit_conf_3,5,-0.39486,158.8170,-0.39486,-0.15943,-0.277325,-0.049277,-0.37935,-0.128858,-0.28936,-0.018705,-0.40323,-0.178478,-0.24421,-0.068325
88,Ac7_rdkit_conf_3,4,-0.38931,154.7460,-0.38931,-0.155746,-0.333629,-0.049236,-0.3749,-0.125085,-0.321538,-0.018575,-0.40482,-0.178095,-0.280217,-0.071585
89,Ac7_rdkit_conf_3,4,-0.38931,154.7460,-0.38931,-0.155745,-0.33363,-0.049235,-0.3749,-0.125085,-0.321539,-0.018575,-0.40483,-0.178101,-0.280024,-0.071591
90,Ac7_rdkit_conf_3,9,0.49481,26.1909,0.49481,0.357531,0.334302,0.179832,0.52584,0.405145,0.381214,0.227445,0.45666,0.296944,0.26852,0.119245
91,Ac7_rdkit_conf_3,10,0.22178,29.8444,0.22178,0.103828,0.160121,0.039447,0.25632,0.130919,0.209402,0.066538,0.19277,0.075606,0.095203,0.011225
92,Ac7_rdkit_conf_3,11,0.21348,30.2151,0.21348,0.089636,0.154848,0.033319,0.24731,0.11704,0.200573,0.060722,0.19774,0.063533,0.092373,0.007215
93,Ac7_rdkit_conf_3,11,0.21348,30.2151,0.21348,0.089637,0.154849,0.033319,0.24731,0.11704,0.200573,0.060722,0.19772,0.063514,0.09229,0.007196
94,Ac7_rdkit_conf_3,11,0.21348,30.2151,0.21348,0.089636,0.154848,0.033319,0.24731,0.11704,0.200573,0.060722,0.19774,0.063533,0.092373,0.007215
95,Ac7_rdkit_conf_3,11,0.21348,30.2151,0.21348,0.089637,0.154849,0.033319,0.24731,0.11704,0.200573,0.060722,0.19772,0.063514,0.09229,0.007196
96,Ac7_rdkit_conf_3,12,0.20826,30.4898,0.20826,0.088497,0.171682,0.02889,0.2312,0.110214,0.21052,0.050607,0.19098,0.071231,0.137525,0.011624
97,Ac7_rdkit_conf_3,12,0.20826,30.4898,0.20826,0.088497,0.171682,0.02889,0.2312,0.110214,0.21052,0.050607,0.19098,0.071229,0.137516,0.011622
98,Ac7_rdkit_conf_3,12,0.20826,30.4898,0.20826,0.088497,0.171682,0.02889,0.2312,0.110214,0.21052,0.050607,0.19098,0.071231,0.137525,0.011624
99,Ac7_rdkit_conf_3,12,0.20826,30.4898,0.20826,0.088497,0.171682,0.02889,0.2312,0.110214,0.21052,0.050607,0.19098,0.071229,0.137516,0.011622
100,Ac7_rdkit_conf_3,13,0.21071,30.3054,0.21071,0.086896,0.144576,0.032208,0.25702,0.123716,0.200477,0.069028,0.1764,0.05508,0.086248,0.000392
101,Ac7_rdkit_conf_3,13,0.21071,30.3054,0.21071,0.086896,0.144576,0.032208,0.25702,0.123716,0.200477,0.069028,0.17642,0.055092,0.086293,0.000404
102,Ac7_rdkit_conf_3,13,0.21071,30.3054,0.21071,0.086896,0.144576,0.032208,0.25702,0.123716,0.200477,0.069028,0.1764,0.05508,0.086248,0.000392
103,Ac7_rdkit_conf_3,13,0.21071,30.3054,0.21071,0.086896,0.144576,0.032208,0.25702,0.123716,0.200477,0.069028,0.17642,0.055092,0.086293,0.000404
